ID,BookName,Publisher,Author,Price
228,Özgecan Doğan Kitapları - Bilim Kurgu Seti 2 Kitap Takım,Kitap Müptelası Yayınları,Özgecan Doğan,"201,00"
229,Lilith’in Dölü,İthaki Yayınları,Octavia E. Butler,"214,50"
230,Bilme Cesareti,Theseus Yayınevi,James Kennedy,"77,40"
231,Nötralizör,İthaki Yayınları,Dost Körpe,"51,35"
232,Çiftlik,İthaki Yayınları,Joanne Ramos,"100,10"
233,Yapay Kader,Kırmızı Çatı Yayınları,Volkan Çekirdek,"43,50"
234,Stella Terra,Perseus,Umut Şenol,"77,40"
235,İntihar ve Bilimkurgu,Koç Üniversitesi Yayınları,Carlos Gutierrez-Jones,"57,60"
236,Bayan Prim’in Uyanışı,Kafka Kitap,Natalia Sanmartin Fenollera,"90,03"
237,Küle Dönen Bedenler,Epsilon Yayınevi,Rory Power,"139,75"
238,Vampir Avcısı D - Rüzgar Yükselince,Komikşeyler Yayıncılık,Hideyuki Kikuçi,"52,50"
239,Bilimkurgu Okuryazarlığı,Destek Yayınları,Zümrüt Bıyıklıoğlu,"37,70"
240,Sınır,Müptela Yayınları,Melodi Baç,"66,00"
241,Parvana’nın Mücadelesi,Epsilon Yayınevi,Deborah Ellis,"57,53"
242,Parvana’nın Yolculuğu,Epsilon Yayınevi,Deborah Ellis,"70,53"
243,Dünyanın Geleceği Türkiye 2050,Sia Kitap,Tuğrul Kudatgobilik,"27,50"
244,Marslı Prenses - John Carter 1,BilgeSu Yayıncılık,Edgar Rice Burroughs,"52,50"
245,Mars’ın Tanrıları - John Carter 2,BilgeSu Yayıncılık,Edgar Rice Burroughs,"66,50"
246,Mars’ın Kumandanı - John Carter 3,BilgeSu Yayıncılık,Edgar Rice Burroughs,"52,50"
247,Zaman Polisi,Theseus Yayınevi,Jodi Taylor,"101,40"
248,Ay’da Bir Çocuk,Dorlion Yayınevi,Hilda Haig Brown,"25,80"
249,Bilimkurgu Sinemasında Cyberpunk,Altıkırkbeş Yayınları,Oğuzhan Ersümer,"91,00"
250,Dion - Galaktik Federasyon,Misket Kitap,Ümran Gündüz,"54,60"
251,Palmer Eldritch’in 3 Stigmatası,Altıkırkbeş Yayınları,Philip K. Dick,"63,00"
252,Yaşamın Denklemleri,Hyperion Kitap,Simon Morden,"25,50"
253,Yaşayan Ölüler Şehri,Altıkırkbeş Yayınları,Fletcher Pratt,"37,80"
254,Uzay Gezgini Tuf,Dex Yayınevi,George R. R. Martin,"103,35"
255,Cinayet Molekülleri,Ketebe Yayınları,John Emsley,"31,85"
256,Şebeke Etkisi,İthaki Yayınları,Martha Wells,"104,00"
257,Grisis 2 - Kıyamet,Doruk Yayınları,Metin Çiçek,"175,00"
258,Grisis 1 - Yaşlanmayanlar,Doruk Yayınları,Metin Çiçek,"168,00"
259,Çöl Gezegen,E-Kitap Yayıncılık,Murat Ukray,"375,20"
260,Toprak Annem,Perseus,Alper Bozdağ,"63,60"
261,İthaki Korku Ajandası 2022,İthaki Yayınları,No author found,"42,97"
262,Arthur ile Zamanın İzinde - Evrenin Merkezine Doğru Bir Yolculuk,Theseus Yayınevi,D. E. Verpilleux,"83,40"
263,Görünmez Olmak İsteyen Adam,Fihrist Kitap,Maurice Renard,"38,68"
264,Sarmaşık,İthaki Yayınları,Chana Porter,"58,50"
265,Samaomeda Sonsuz Derinlik,İkinci Adam Yayınları,Lütfi Can Üstel,"35,75"
266,Xantrius - Xantrius İstila Altında!,İkinci Adam Yayınları,Lütfi Can Üstel,"48,10"
267,Alacakaranlık,Tilki Kitap,Mehmet Uyur,"104,00"
268,Profesör Unrat,Othello Yayıncılık,Heinrich Mann,"71,50"
269,1980 Sonrası Türk Edebiyatında Bilimkurgu Romanları,Nobel Akademik Yayıncılık,Yılmaz Açık,"176,30"
270,Bilimkurguyu Anlamak,Nobel Bilimsel Eserler,Cenk Tan,"136,00"
271,Harika Güzel Yarınlar,Ayrıntı Yayınları,Cory Doctorow,"38,50"
272,Mahar,Epsilon Yayınevi,Murat Ekşi,"129,03"
273,Tanrının Gözü 2 - Yeni Nesil,Panu Kitap,Ozan Göksu,"71,50"
274,Tanrının Gözü 1 - Hasat,Panu Kitap,Ozan Göksu,"71,50"
275,Geleceğin Havva’sı,Fihrist Kitap,Villiers de I’Isle-Adam,"97,18"
276,Bilimkurgu Manifestosu,Fihrist Kitap,Maurice Renard,"38,68"
277,Gizli Öğreti 3. Cilt The Secret Doctrine,Mitra Yayınları,Helena Petrovna Blavatsky,"202,50"
278,Bay Fahrenheit,Pegasus Yayınları,No author found,"90,00"
279,Ayar,Pegasus Yayınları,Suzanne Young,"90,00"
280,Ruhban,Eksik Parça Yayınları,Ozan Ertürk,"52,50"
281,İlow 2 - Yeni Bir Alem,Gece Kitaplığı,Bahattin Seven,"120,90"
282,Saat Adam,Yitik Ülke Yayınları,Edwin Vincent Odle,"90,00"
283,Son ve İlk İnsanlar,Cem Yayınevi,Olaf Stapledon,"69,68"
284,1984,Cem Yayınevi,George Orwell,"40,20"
285,Dağı Yerinden Oynatmak,Cem Yayınevi,Charlotte Perkins Gilman,"46,20"
286,2071,Dorlion Yayınevi,Tibet Yıldırım,"30,00"
287,Doğanın Ölümü,Fihrist Kitap,J. -H. Rosny Aine,"64,68"
288,Gostak ve Doshes,Altıkırkbeş Yayınları,Miles John Breuer,"45,50"
289,Alevler,Altıkırkbeş Yayınları,Olaf Stapledon,"38,88"
290,Evrenin Gizli Bahçesi - Yeşil Halka,Altın Kitaplar,Özlem Aytek,"39,20"
291,Memento: Bir İlluminae Dosyaları Öyküsü,Pegasus Yayınları,Amie Kaufman,"90,00"
292,Yörünge - Yalnız Değilsiniz!,İkinci Adam Yayınları,Lütfi Can Üstel,"62,40"
293,Kan Tiyatrosu,Eksik Parça Yayınları,Özgen Biçgin,"52,50"
294,Liktorun Kılıcı,İthaki Yayınları,Gene Wolfe,"92,95"
295,Xipehuzler - Kızıl Su,Laputa Kitap,J.-H. Rosny aine,"29,25"
296,Yaşlı Adam Yeni Dünyada,Laputa Kitap,Olaf Stapledon,"42,25"
297,Yakınlaşmalar,Ayrıntı Yayınları,Steven Erikson,"107,80"
298,Tersine Gezegen,Altıkırkbeş Yayınları,Henry Guth,"37,80"
299,Kuyrukluyıldız Günleri,İthaki Yayınları,Herbert George Wells,"61,10"
300,Yitik Dünya,İthaki Yayınları,Tom Sweterlitsch,"118,30"
301,Çağdaş Bir Ütopya,Fihrist Kitap,H. G. Wells,"77,68"
302,Kızıl Gezegen’in Altında,Altıkırkbeş Yayınları,Eric Fennel,"37,80"
303,Tanrısız,İthaki Yayınları,Mehmet Atılgan,"92,95"
304,Hepimizin Tek Arzusu,Epsilon Yayınevi,Emily Giffin,"109,53"
305,Test,Sander Yayınları,Sylvain Neuvel,"46,20"
306,Son Sözü Genom Söyler,İş Bankası Kültür Yayınları,Greg Gibson,"71,50"
307,Ses,Dorlion Yayınevi,Sevda Yıldırım Akbayır,"40,80"
308,Demir Pençe Suziko Asya Macerası,Damla Yayınevi Çocuk,Sara Gürbüz Özeren,"59,50"
309,Medusa’nın Sırrı,E-Kitap Yayıncılık,Murat Ukray,"311,55"
310,Ruhani,Epsilon Yayınevi,Salih Seçkin Sevinç,"38,03"
311,Sonsuz Ayrıntı,The Roman,Tim Maughan,"61,10"
312,Sonsuzluk Çarkı: Aradünya 3,İthaki Yayınları,Neil Gaiman,"111,15"
313,Rüya Gören,Alfa Yayınları,Levent Şenyürek,"31,85"
314,Walam Olum - Siyah Günce,Atayurt Yayınevi,Mücahit Gezen,"90,00"
315,Makine Yazı,İthaki Yayınları,John Crowley,"85,80"
316,Joe Carson’ın Silahı,Altıkırkbeş Yayınları,James R. Adams,"37,80"
317,Plüton’dan Kaçış,Altıkırkbeş Yayınları,William Oberfield,"37,80"
318,İlk Şehir - Egemenlik Üçlemesi 3. Kitap,Salon Yayınları,Joe Hart,"80,50"
319,Ve İşte Zaman Savaşını Böyle Kaybedersin,İthaki Yayınları,Max Gladstone,"74,10"
320,Hyperion,Pegasus Yayınları,DAN SIMMONS,"96,00"
321,Son Kadın,Paradigma Akademi Yayınları,Morpheus,"84,00"
322,Süpernova - Muhalifler 3,Dex Yayınevi,Marissa Meyer,"145,60"
323,Uyanış Serisi 3 Kitap Takım,GO! Kitap,Scott Sigler,"292,50"
324,Soğuk Depo,Salon Yayınları,David Koepp,"67,00"
325,Dune: Harkonnen Hanedanı - Hanedanlık Üçlemesi İkinci Kitap,İthaki Yayınları,Brian Herbert,"222,95"
326,Dune: Atreides Hanedanı - Hanedanlık Üçlemesi Birinci Kitap,İthaki Yayınları,Brian Herbert,"214,50"
327,Adem’den Önce,İthaki Yayınları,Jack London,"37,05"
328,Profesör Challenger’ın Maceraları Seti 4 Kitap Takım,Ren Kitap - Özel Ürün,Sir Arthur Conan Doyle,"139,65"
